ticker,commodity,date,open,high,low,close,volume
GC=F,Gold,2013-01-02,1672.800048828125,1693.800048828125,1670.0,1687.9000244140625,35
GC=F,Gold,2013-01-03,1686.0999755859375,1686.800048828125,1662.0,1673.699951171875,140
GC=F,Gold,2013-01-04,1647.0,1658.300048828125,1625.699951171875,1648.0999755859375,199
GC=F,Gold,2013-01-07,1656.5,1659.9000244140625,1643.800048828125,1645.5,49
GC=F,Gold,2013-01-08,1647.699951171875,1661.5,1647.699951171875,1661.5,17
GC=F,Gold,2013-01-09,1658.5999755859375,1662.0999755859375,1651.9000244140625,1654.800048828125,9
GC=F,Gold,2013-01-10,1672.5,1677.300048828125,1672.5,1677.300048828125,9
GC=F,Gold,2013-01-11,1673.0999755859375,1673.0999755859375,1654.199951171875,1660.0,147
GC=F,Gold,2013-01-14,1665.4000244140625,1673.800048828125,1664.0999755859375,1668.9000244140625,10
GC=F,Gold,2013-01-15,1671.5999755859375,1684.300048828125,1671.5999755859375,1683.4000244140625,20
GC=F,Gold,2013-01-16,1674.4000244140625,1682.699951171875,1674.4000244140625,1682.699951171875,11
GC=F,Gold,2013-01-17,1676.4000244140625,1694.5999755859375,1671.0,1690.4000244140625,81
GC=F,Gold,2013-01-18,1687.4000244140625,1692.0,1686.5999755859375,1686.5999755859375,14
GC=F,Gold,2013-01-22,1690.300048828125,1694.699951171875,1687.800048828125,1692.800048828125,15
GC=F,Gold,2013-01-23,1691.300048828125,1693.699951171875,1685.199951171875,1686.300048828125,28
GC=F,Gold,2013-01-24,1680.800048828125,1681.699951171875,1668.0,1669.5,13
GC=F,Gold,2013-01-25,1663.0,1663.0,1656.4000244140625,1656.4000244140625,44
GC=F,Gold,2013-01-28,1651.5999755859375,1655.5,1651.5999755859375,1652.4000244140625,82
GC=F,Gold,2013-01-29,1661.199951171875,1661.5,1660.699951171875,1660.699951171875,145863
GC=F,Gold,2013-01-30,1662.4000244140625,1683.0,1661.800048828125,1679.9000244140625,44893
GC=F,Gold,2013-01-31,1675.4000244140625,1680.0,1657.4000244140625,1660.5999755859375,6044
GC=F,Gold,2013-02-01,1663.9000244140625,1681.199951171875,1659.9000244140625,1669.4000244140625,3250
GC=F,Gold,2013-02-04,1668.0,1676.5,1661.5999755859375,1675.300048828125,450
GC=F,Gold,2013-02-05,1674.199951171875,1683.4000244140625,1666.5,1672.4000244140625,353
GC=F,Gold,2013-02-06,1672.199951171875,1678.5,1668.0,1677.699951171875,376
GC=F,Gold,2013-02-07,1677.0,1682.0999755859375,1663.0999755859375,1670.4000244140625,475
GC=F,Gold,2013-02-08,1671.5,1672.5,1664.800048828125,1666.0,289
GC=F,Gold,2013-02-11,1666.5,1668.0,1643.699951171875,1648.199951171875,868
GC=F,Gold,2013-02-12,1643.800048828125,1650.4000244140625,1642.4000244140625,1648.699951171875,85
GC=F,Gold,2013-02-13,1652.199951171875,1652.300048828125,1640.199951171875,1644.199951171875,236
GC=F,Gold,2013-02-14,1641.0999755859375,1646.9000244140625,1632.699951171875,1634.699951171875,219
GC=F,Gold,2013-02-15,1633.199951171875,1633.9000244140625,1599.5,1608.800048828125,460
GC=F,Gold,2013-02-19,1610.0,1617.0,1599.699951171875,1603.5999755859375,272
GC=F,Gold,2013-02-20,1604.699951171875,1606.9000244140625,1561.800048828125,1577.5999755859375,278
GC=F,Gold,2013-02-21,1568.5,1581.199951171875,1555.199951171875,1578.199951171875,2019
GC=F,Gold,2013-02-22,1580.0,1585.4000244140625,1572.4000244140625,1572.4000244140625,76
GC=F,Gold,2013-02-25,1579.4000244140625,1596.0,1577.699951171875,1586.199951171875,118
GC=F,Gold,2013-02-26,1593.300048828125,1615.199951171875,1589.0,1615.199951171875,1158
GC=F,Gold,2013-02-27,1612.800048828125,1612.800048828125,1591.800048828125,1595.199951171875,700
GC=F,Gold,2013-02-28,1596.0,1601.5999755859375,1575.0999755859375,1577.699951171875,102
GC=F,Gold,2013-03-01,1579.5999755859375,1585.5999755859375,1566.0,1571.9000244140625,68
GC=F,Gold,2013-03-04,1580.800048828125,1580.800048828125,1569.699951171875,1572.0999755859375,64
GC=F,Gold,2013-03-05,1577.5999755859375,1585.5,1571.4000244140625,1574.5999755859375,65
GC=F,Gold,2013-03-06,1577.5999755859375,1582.5999755859375,1566.800048828125,1574.5999755859375,106
GC=F,Gold,2013-03-07,1580.0,1583.5,1573.9000244140625,1574.800048828125,52
GC=F,Gold,2013-03-08,1578.5999755859375,1581.199951171875,1561.800048828125,1576.5999755859375,68
GC=F,Gold,2013-03-11,1576.0,1579.699951171875,1576.0,1577.800048828125,1115
GC=F,Gold,2013-03-12,1579.800048828125,1595.5999755859375,1579.800048828125,1591.5,159
GC=F,Gold,2013-03-13,1592.300048828125,1596.0,1585.0,1588.300048828125,396
GC=F,Gold,2013-03-14,1585.699951171875,1590.5999755859375,1575.699951171875,1590.5999755859375,137
GC=F,Gold,2013-03-15,1590.5,1594.4000244140625,1590.199951171875,1592.5,11
GC=F,Gold,2013-03-18,1605.9000244140625,1607.699951171875,1601.5999755859375,1604.5999755859375,613
GC=F,Gold,2013-03-19,1613.0999755859375,1613.0999755859375,1611.300048828125,1611.300048828125,202
GC=F,Gold,2013-03-20,1610.0,1612.5,1606.199951171875,1607.5,5
GC=F,Gold,2013-03-21,1612.800048828125,1613.800048828125,1611.9000244140625,1613.800048828125,7
GC=F,Gold,2013-03-22,1611.0,1611.0,1604.0999755859375,1606.199951171875,101
GC=F,Gold,2013-03-25,1607.0999755859375,1607.800048828125,1596.0999755859375,1604.5999755859375,27
GC=F,Gold,2013-03-26,1595.800048828125,1595.800048828125,1595.800048828125,1595.800048828125,165484
GC=F,Gold,2013-03-27,1598.5,1608.0999755859375,1590.300048828125,1606.199951171875,50450
GC=F,Gold,2013-03-28,1604.699951171875,1606.5999755859375,1593.5999755859375,1594.800048828125,4717
GC=F,Gold,2013-04-01,1596.800048828125,1600.5,1594.800048828125,1600.0,688
GC=F,Gold,2013-04-02,1599.199951171875,1602.5999755859375,1574.0999755859375,1575.0999755859375,2289
GC=F,Gold,2013-04-03,1575.699951171875,1576.4000244140625,1549.199951171875,1552.800048828125,2171
GC=F,Gold,2013-04-04,1557.300048828125,1557.300048828125,1539.0999755859375,1551.800048828125,829
GC=F,Gold,2013-04-05,1553.199951171875,1580.5999755859375,1550.0999755859375,1575.4000244140625,1184
GC=F,Gold,2013-04-08,1575.800048828125,1577.800048828125,1567.800048828125,1572.0,101
GC=F,Gold,2013-04-09,1571.5999755859375,1589.300048828125,1570.0,1586.199951171875,215
GC=F,Gold,2013-04-10,1584.4000244140625,1586.0,1557.0,1558.300048828125,359
GC=F,Gold,2013-04-11,1557.0999755859375,1566.699951171875,1554.800048828125,1564.300048828125,1070
GC=F,Gold,2013-04-12,1560.800048828125,1560.800048828125,1480.199951171875,1501.0,881
GC=F,Gold,2013-04-15,1478.199951171875,1487.4000244140625,1338.0,1360.5999755859375,1309
GC=F,Gold,2013-04-16,1358.0,1401.0,1323.0,1386.800048828125,619
GC=F,Gold,2013-04-17,1373.199951171875,1394.199951171875,1370.199951171875,1382.199951171875,92
GC=F,Gold,2013-04-18,1347.5,1396.4000244140625,1347.5,1392.0,57
GC=F,Gold,2013-04-19,1419.300048828125,1420.300048828125,1395.0999755859375,1395.300048828125,241
GC=F,Gold,2013-04-22,1406.800048828125,1434.9000244140625,1406.800048828125,1421.0,70
GC=F,Gold,2013-04-23,1429.5,1429.5,1405.800048828125,1408.5999755859375,334
GC=F,Gold,2013-04-24,1423.199951171875,1430.0999755859375,1420.4000244140625,1423.4000244140625,138
GC=F,Gold,2013-04-25,1433.0,1461.800048828125,1433.0,1461.800048828125,222
GC=F,Gold,2013-04-26,1467.4000244140625,1476.199951171875,1451.4000244140625,1453.5999755859375,976
GC=F,Gold,2013-04-29,1462.699951171875,1475.5,1462.300048828125,1467.4000244140625,269
GC=F,Gold,2013-04-30,1471.0999755859375,1476.5999755859375,1461.0,1472.199951171875,534
GC=F,Gold,2013-05-01,1475.800048828125,1477.0999755859375,1440.0,1446.300048828125,131
GC=F,Gold,2013-05-02,1459.0,1471.199951171875,1453.5,1467.699951171875,244
GC=F,Gold,2013-05-03,1465.5,1487.0999755859375,1461.4000244140625,1464.300048828125,68
GC=F,Gold,2013-05-06,1468.0999755859375,1477.199951171875,1466.800048828125,1468.0999755859375,33
GC=F,Gold,2013-05-07,1462.0,1466.199951171875,1441.199951171875,1449.0,91
GC=F,Gold,2013-05-08,1455.5,1474.699951171875,1450.699951171875,1473.9000244140625,81
