"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2023","892.10","904.10","914.70","885.80","","-1.56%"
"10/17/2023","906.20","899.50","909.50","894.50","","0.76%"
"10/16/2023","899.40","888.70","900.60","879.10","","1.03%"
"10/15/2023","890.20","887.90","891.05","886.00","","0.68%"
"10/13/2023","884.20","872.30","891.30","867.90","23.66K","0.96%"
"10/12/2023","875.80","895.90","902.60","871.10","24.15K","-1.93%"
"10/11/2023","893.00","887.90","896.00","879.00","","0.31%"
"10/10/2023","890.20","893.40","899.30","885.50","","0.16%"
"10/09/2023","888.80","884.60","896.90","877.50","","0.79%"
"10/08/2023","881.85","884.85","890.20","877.65","","0.04%"
"10/06/2023","881.50","867.60","888.90","856.80","","2.20%"
"10/05/2023","862.50","872.80","879.40","860.70","","-1.34%"
"10/04/2023","874.20","877.10","884.80","865.80","","-0.61%"
"10/03/2023","879.60","886.10","890.40","875.00","26.10K","-0.81%"
"10/02/2023","886.80","916.20","921.60","884.80","","-3.50%"
"10/01/2023","919.00","915.25","919.50","915.25","","0.34%"
"09/29/2023","915.90","916.10","935.50","912.10","","0.09%"
"09/28/2023","915.10","897.30","917.70","894.10","","2.10%"
"09/27/2023","896.30","913.50","918.80","890.90","","-1.96%"
"09/26/2023","914.20","922.40","923.00","907.90","","-1.02%"
"09/25/2023","923.60","939.90","941.10","920.20","","-1.58%"
"09/24/2023","938.40","941.00","941.10","937.55","","0.46%"
"09/22/2023","934.10","924.50","947.10","924.30","","1.03%"
"09/21/2023","924.60","933.30","933.50","916.90","","-1.88%"
"09/20/2023","942.30","946.50","949.60","931.50","29.06K","-0.64%"
"09/19/2023","948.40","939.20","955.00","934.00","27.70K","1.08%"
"09/18/2023","938.30","930.70","941.20","930.70","27.48K","0.64%"
"09/17/2023","932.35","931.35","932.55","930.90","","0.31%"
"09/15/2023","929.50","910.50","934.10","909.20","31.24K","2.02%"
"09/14/2023","911.10","904.00","914.00","900.20","22.77K","0.65%"
"09/13/2023","905.20","914.30","914.70","898.10","24.90K","-0.83%"
"09/12/2023","912.80","902.90","916.40","894.50","29.48K","1.16%"
"09/11/2023","902.30","896.60","908.90","894.80","26.25K","0.44%"
"09/10/2023","898.35","896.25","898.50","894.80","","0.40%"
"09/08/2023","894.80","910.70","915.00","893.30","26.14K","-1.63%"
"09/07/2023","909.60","915.30","918.70","903.50","23.25K","-0.62%"
"09/06/2023","915.30","933.20","935.10","909.50","25.47K","-1.95%"
"09/05/2023","933.50","969.10","972.50","932.00","33.15K","-2.71%"
"09/04/2023","959.55","968.80","972.45","956.10","","-0.99%"
"09/03/2023","969.10","968.95","970.45","966.60","","0.04%"
"09/01/2023","968.70","977.20","995.00","967.40","22.06K","-0.58%"
"08/31/2023","974.40","984.50","989.10","973.10","22.61K","-0.91%"
"08/30/2023","983.30","987.30","993.30","978.50","25.73K","0.03%"
"08/29/2023","983.00","983.40","983.50","983.40","0.00K","1.43%"
"08/28/2023","969.10","958.00","967.40","958.00","0.00K","1.85%"
"08/27/2023","951.50","950.50","953.20","950.25","","0.68%"
"08/25/2023","945.10","942.00","942.00","942.00","0.00K","0.55%"
"08/24/2023","939.90","940.00","940.00","940.00","0.00K","0.51%"
"08/23/2023","935.10","933.20","935.00","933.20","0.00K","1.49%"
"08/22/2023","921.40","915.10","932.40","912.80","","1.21%"
"08/21/2023","910.40","912.30","912.30","907.60","0.00K","-0.73%"
"08/20/2023","917.05","916.20","918.35","915.30","","0.09%"
"08/18/2023","916.25","900.10","917.50","896.60","","1.79%"
"08/17/2023","900.15","886.60","913.65","884.20","","0.99%"
"08/16/2023","891.30","893.20","898.70","885.00","","-0.10%"
"08/15/2023","892.20","904.60","906.20","882.60","","-1.61%"
"08/14/2023","906.80","915.50","919.00","893.60","","-1.17%"
"08/13/2023","917.55","916.30","918.85","915.55","","0.32%"
